[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/markdown-basics/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/markdown-basics/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/markdown-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/markdown-language-features/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/sql/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/sql/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/shellscript/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/shellscript/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/javascript/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/javascript/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/powershell/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/powershell/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/xml/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/xml/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/java/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/java/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/log/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/log/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json'
